x,y,z,ring,intensity
-0.10047913,7.8508301,-0.18877518,0,10
-0.9889679,13.038269,2.0658045,8,8
-0.32365417,9.1513672,-0.21365249,1,4
-0.99064636,13.067505,2.5171363,9,5
-0.64888,11.057312,-0.26727974,2,2
-1.0032501,13.173828,2.9787493,10,26
-0.96432495,12.90332,-0.17632043,3,2
-1.0511322,13.472748,3.4742804,11,7
-0.95820618,12.90036,0.27778459,4,16
-1.0489349,13.494141,3.9511313,12,7
-0.96505737,12.959686,0.72199404,5,20
-1.0282593,13.393677,4.410975,13,31
-0.96232605,12.976532,1.169945,6,14
-0.96560669,13.046997,4.8126712,14,7
-0.96723938,13.024872,1.6167039,7,10
-0.96516418,13.077942,5.2977858,15,5
-0.071060181,7.8362732,-0.18362463,0,10
-0.94868469,13.069489,2.0660703,8,7
-0.29193115,9.1508484,-0.21236551,1,2
-0.95289612,13.114471,2.5190458,9,5
-0.61213684,11.067566,-0.26814067,2,2
-1.0084229,13.47818,3.0043817,10,7
-0.92378235,12.930267,-0.17959249,3,2
-1.0119171,13.519684,3.4789681,11,7
-0.91868591,12.933258,0.27446067,4,16
-1.0115509,13.552582,3.9590564,12,7
-0.92399597,12.984833,0.7202847,5,20
-0.98728943,13.428528,4.4161549,13,31
-0.92222595,13.007629,1.1685364,6,11
-0.92515564,13.077576,4.8179183,14,7
-0.92762756,13.059967,1.6160547,7,10
-0.92425537,13.106415,5.3033314,15,7
-0.043014526,7.8292542,-0.18055928,0,10
-0.90751648,13.096619,2.0662739,8,7
-0.25895691,9.1425476,-0.20926368,1,2
-0.91160583,13.141632,2.5199468,9,7
-0.57406616,11.069946,-0.26745975,2,2
-0.96875,13.523193,3.0075099,10,5
-0.88243103,12.953186,-0.18223178,3,2
-0.97528076,13.584167,3.4858146,11,8
-0.88053894,12.97583,0.26989865,4,16
-0.96931458,13.583649,3.9626541,12,7
-0.8837738,13.015778,0.7180407,5,18
-0.94544983,13.459351,4.420579,13,31
-0.88449097,13.054382,1.1662595,6,11
-0.88705444,13.123444,4.8267341,14,7
-0.885849,13.083099,1.615638,7,10
-0.88285828,13.132843,5.3083634,15,7
-0.017822266,7.8392334,-0.18218577,0,10
-0.86592102,13.121704,2.0664465,8,7
-0.22763062,9.1437378,-0.20842946,1,2
-0.86949158,13.164703,2.5206461,9,13
-0.53599548,11.072174,-0.26677859,2,2
-0.92945862,13.571991,3.0109792,10,7
-0.84283447,12.987671,-0.1867708,3,2
-0.93287659,13.615173,3.4885826,11,11
-0.84341431,13.026123,0.26434588,4,16
-0.93096924,13.639923,3.9702692,12,10
-0.84461975,13.054413,0.71508384,5,20
-0.90374756,13.492004,4.4253807,13,28
-0.84393311,13.085236,1.1648507,6,11
-0.8480072,13.165283,4.8346572,14,7
-0.84709167,13.125885,1.6148332,7,10
-0.84254456,13.166779,5.3154511,15,7
0.0080413818,7.8453064,-0.18276966,0,10
-0.82571411,13.156494,2.0667741,8,7
-0.19447327,9.1332703,-0.2048732,1,2
-0.83006287,13.205383,2.5222526,9,7
-0.49487305,11.054932,-0.2622422,2,2
-0.8873291,13.60495,3.0130844,10,10
-0.80238342,13.018097,-0.19067681,3,2
-0.88752747,13.628448,3.4891918,11,11
-0.80348206,13.060608,0.26077378,4,16
-0.88490295,13.649261,3.9704676,12,10
-0.80615234,13.098877,0.7115922,5,20
-0.86457825,13.541992,4.4335828,13,28
-0.80351257,13.11792,1.1633334,6,11
-0.80451965,13.180145,4.8363357,14,7
-0.8086853,13.172424,1.6139507,7,10
-0.80377197,13.212097,5.3256221,15,7
0.033615112,7.8532104,-0.18387473,0,10
-0.7837677,13.181244,2.0669467,8,10
-0.16648865,9.155365,-0.20902979,1,2
-0.45629883,11.053009,-0.26078904,2,2
-0.84318542,13.625946,3.0141673,10,8
-0.76298523,13.056213,-0.19584978,3,2
-0.84269714,13.645508,3.4902809,11,8
-0.76179504,13.085144,0.25843978,4,16
-0.84208679,13.679871,3.9740658,12,7
-0.76678467,13.139252,0.70845675,5,20
-0.83250427,13.64035,4.4512281,13,24
-0.76408386,13.158417,1.1613814,6,11
-0.76329041,13.210205,4.8415818,14,7
-0.76756287,13.203094,1.6133784,7,10
-0.7635498,13.249573,5.3337369,15,7
