stamp,x,y,yaw
1518461385.1747095585,-1872.3367173090,-778.9581434007,2.3321518307
1518461385.3750627041,-1873.0078324124,-778.2543629324,2.3294949082
1518461385.5753004551,-1873.6896422573,-777.5332063525,2.3260910752
1518461385.7746903896,-1874.3793678606,-776.8011360556,2.3258796039
1518461385.9756698608,-1875.0917733941,-776.0477877761,2.3276774976
1518461386.1755650043,-1875.8134346048,-775.2858434115,2.3301763677
1518461386.3749663830,-1876.5436422574,-774.5135245421,2.3319422676
1518461386.5757040977,-1877.2952602366,-773.7290653739,2.3340346028
1518461386.7753057480,-1878.0630629240,-772.9344592828,2.3374914678
1518461386.9751029015,-1878.8437777015,-772.1283100442,2.3380350222
1518461387.1753456593,-1879.6327744102,-771.3112283553,2.3392438473
1518461387.3746912479,-1880.4280529932,-770.4864787248,2.3394454425
1518461387.5756576061,-1881.2334894632,-769.6470932593,2.3369909063
1518461387.7756860256,-1882.0469817964,-768.8123952572,2.3364024506
1518461387.9756042957,-1882.8577813158,-767.9632185697,2.3354115897
1518461388.1749975681,-1883.6687164163,-767.1140744841,2.3366494567
1518461388.3756604195,-1884.4788384666,-766.2546345683,2.3318707027
1518461388.5753509998,-1885.2903820900,-765.3983214413,2.3331738158
1518461388.7748451233,-1886.1044493547,-764.5451187840,2.3356550623
1518461388.9754374027,-1886.9209183584,-763.6866023637,2.3368247796
1518461389.1750745773,-1887.7381364911,-762.8322633338,2.3379862358
1518461389.3751840591,-1888.5603889377,-761.9719136984,2.3389549585
1518461389.5751576424,-1889.3838606098,-761.1132554719,2.3418009318
1518461389.7754898071,-1890.2162311804,-760.2549004884,2.3438325632
1518461389.9749989510,-1891.0493019455,-759.3961764575,2.3435419479
1518461390.1755492687,-1891.8883265099,-758.5331513513,2.3430982664
1518461390.3755481243,-1892.7323985717,-757.6726453909,2.3463102500
1518461390.5761945248,-1893.5832120066,-756.8108294536,2.3470230198
1518461390.7758700848,-1894.4278191667,-755.9530344153,2.3491283085
1518461390.9752199650,-1895.2720502726,-755.0989285874,2.3505489502
1518461391.1754577160,-1896.1245062624,-754.2455484726,2.3528945703
1518461391.3755290508,-1896.9794630744,-753.3926151035,2.3546520203
1518461391.5753552914,-1897.8292477115,-752.5472829816,2.3560404243
1518461391.7753193378,-1898.6803074538,-751.6989806599,2.3583026360
1518461391.9759409428,-1899.5358215529,-750.8480151646,2.3590417858
1518461392.1752068996,-1900.3829540978,-750.0044196688,2.3563306741
1518461392.3752732277,-1901.2295531869,-749.1539030448,2.3524138763
1518461392.5756130219,-1902.0721589671,-748.3006025993,2.3488735900
1518461392.7814593315,-1902.9386501503,-747.4238116616,2.3467843575
1518461392.9750947952,-1903.7522509837,-746.5995060985,2.3449654694
1518461393.1749639511,-1904.5881955367,-745.7459953469,2.3407339169
1518461393.3752582073,-1905.4197644651,-744.8841538996,2.3377956004
1518461393.5756268501,-1906.2502899895,-744.0191341982,2.3356332327
1518461393.7746889591,-1907.0708041764,-743.1609705351,2.3318101310
1518461393.9754893780,-1907.8946222447,-742.2900130044,2.3279593774
1518461394.1748893261,-1908.7140492126,-741.4188313538,2.3275590413
1518461394.3750140667,-1909.5412824298,-740.5431697400,2.3318593326
1518461394.5750014782,-1910.3695644196,-739.6711443760,2.3364709944
1518461394.7748920918,-1911.2049689113,-738.8021157298,2.3401748215
1518461394.9754147530,-1912.0470295007,-737.9336412305,2.3406681458
1518461395.1751520634,-1912.8891835970,-737.0695513632,2.3417851703
1518461395.3750565052,-1913.7388823944,-736.2022829816,2.3437777999
1518461395.5753443241,-1914.5868653763,-735.3317977414,2.3439548539
1518461395.7750220299,-1915.4356561293,-734.4628065314,2.3451659428
1518461395.9748723507,-1916.2884128196,-733.5924080299,2.3463553699
1518461396.1748244762,-1917.1443525270,-732.7185468471,2.3473507639
1518461396.3756241798,-1918.0053553456,-731.8420477850,2.3489286021
1518461396.5756871700,-1918.8620564199,-730.9636334964,2.3473231025
1518461396.7753129005,-1919.7189307579,-730.0877957780,2.3486444336
1518461396.9771931171,-1920.5937440478,-729.2031962806,2.3495943234
1518461397.1756553650,-1921.4476961882,-728.3365286653,2.3489837662
1518461397.3750438690,-1922.3073788894,-727.4661889268,2.3494527491
1518461397.5748910904,-1923.1669092866,-726.5971563261,2.3496784903
1518461397.7755525112,-1924.0248753101,-725.7261145048,2.3509686570
1518461397.9755666256,-1924.8813486273,-724.8644213408,2.3523442920
1518461398.1751146317,-1925.7285960163,-724.0067673023,2.3518738275
1518461398.3750779629,-1926.5736348043,-723.1525943015,2.3534314602
1518461398.5752990246,-1927.4180598479,-722.3062216249,2.3531443874
1518461398.7751631737,-1928.2546414613,-721.4632418557,2.3537392206
1518461398.9755954742,-1929.0955774195,-720.6206019089,2.3546781672
1518461399.1754586697,-1929.9356346111,-719.7830097993,2.3566477854
1518461399.3751718998,-1930.7726438739,-718.9485939826,2.3571603249
1518461399.5756695271,-1931.6114557036,-718.1140956912,2.3591485962
1518461399.7751047611,-1932.4482975049,-717.2862841041,2.3588060398
1518461399.9754354954,-1933.2856526133,-716.4529041524,2.3586590518
1518461400.1749992371,-1934.1123675850,-715.6301881728,2.3614196896
1518461400.3751513958,-1934.9408081660,-714.8104897552,2.3601993557
1518461400.5757489204,-1935.7751092007,-713.9777773483,2.3562927810
1518461400.7750513554,-1936.6104917227,-713.1391859702,2.3508069930
1518461400.9752047062,-1937.4418518763,-712.2917506788,2.3440780866
1518461401.1753361225,-1938.2694391107,-711.4367060876,2.3375374834
1518461401.3751649857,-1939.0862154451,-710.5777417944,2.3301697736
1518461401.5756051540,-1939.8942516121,-709.7116159491,2.3215853934
1518461401.7757284641,-1940.6922804213,-708.8452203807,2.3137326102
1518461401.9750270844,-1941.4760335272,-707.9795940149,2.3031177783
1518461402.1752042770,-1942.2481711827,-707.1042044956,2.2909899143
1518461402.3749437332,-1943.0023886254,-706.2313409105,2.2797050432
1518461402.5748217106,-1943.7421359888,-705.3544466704,2.2679154136
1518461402.7752923965,-1944.4686255860,-704.4721580783,2.2562060489
1518461402.9748632908,-1945.1780897208,-703.5918411720,2.2439148407
1518461403.1753695011,-1945.8707370266,-702.7014417943,2.2272144400
1518461403.3764872551,-1946.5463666249,-701.8039240074,2.2071680416
1518461403.5747094154,-1947.1851803466,-700.9139046549,2.1813989749
1518461403.7795398235,-1947.8171937989,-699.9803156479,2.1469183817
1518461403.9751510620,-1948.3797707108,-699.0784505676,2.1101736284
1518461404.1751556396,-1948.9152174636,-698.1457938319,2.0709720207
1518461404.3751077652,-1949.4063029280,-697.1992606807,2.0215451580
1518461404.5755474567,-1949.8450770521,-696.2495791867,1.9665757059
1518461404.7754664421,-1950.2133535229,-695.2870170797,1.8932194229
1518461404.9756467342,-1950.5040086550,-694.3238477645,1.8098548590
1518461405.1754732132,-1950.7055630928,-693.3551243095,1.7188637985
1518461405.3748896122,-1950.8100355592,-692.4050309336,1.6187400337
1518461405.5748283863,-1950.8218604615,-691.4526072239,1.5142506009
1518461405.7748427391,-1950.7366699928,-690.5305387153,1.4066872278
1518461405.9755330086,-1950.5485103391,-689.6414312803,1.2881586061
1518461406.1756310463,-1950.2576382668,-688.7886309014,1.1772528597
1518461406.3751666546,-1949.8765112662,-687.9810375919,1.0678863396
1518461406.5770905018,-1949.3985554744,-687.2099884360,0.9673648562
1518461406.7755649090,-1948.8572796755,-686.5018512194,0.8804153644
1518461406.9766309261,-1948.2422897772,-685.8235466036,0.8092962929
1518461407.1752359867,-1947.5925361754,-685.1873630582,0.7613131169
1518461407.3750524521,-1946.8988480632,-684.5625200028,0.7227276576
