stamp,x,y,yaw
1518631905.3054437637,-147.1566040524,-124.9535613249,-2.4909063100
1518631906.3060779572,-147.4868040952,-125.2074617509,-2.4881277165
1518631907.3057765961,-147.9058975077,-125.5247947007,-2.4881266409
1518631908.3059687614,-148.5319775747,-125.9929983892,-2.4990530609
1518631909.3169565201,-149.0960601100,-126.4108251251,-2.5074930025
1518631910.3057165146,-149.4781624346,-126.6925993023,-2.5102669814
1518631911.3059628010,-150.0991572564,-127.1458737991,-2.5150098384
1518631912.3244385719,-150.8860393098,-127.7110706190,-2.5206281689
1518631913.3060884476,-151.5522373970,-128.1781822982,-2.5308709061
1518631914.3056221008,-152.2661399660,-128.6710602382,-2.5359388482
1518631915.3054471016,-152.7893901895,-129.0280733213,-2.5420748408
1518631916.3058907986,-153.4599109305,-129.4868384650,-2.5376077885
1518631917.3450624943,-154.1231174319,-129.9362215833,-2.5415537195
1518631918.3372707367,-154.6564156235,-130.2981701669,-2.5363525464
1518631919.3501300812,-155.0368342714,-130.5529960085,-2.5420849449
1518631920.3378090858,-155.5497013159,-130.8979120112,-2.5469565477
1518631921.3378398418,-155.6979071916,-130.9989133082,-2.5471811510
1518631922.3371801376,-155.6982128706,-130.9989626654,-2.5472382580
1518631923.3375551701,-155.9477619375,-131.1678691497,-2.5483377389
1518631924.3372297287,-156.6170745122,-131.6049665038,-2.5858269856
1518631925.3374803066,-157.9770688446,-132.3343942679,-2.7320434916
1518631926.3378238678,-159.6208358903,-132.8740304809,-2.9285440771
1518631927.3411009312,-161.2927614037,-132.9876318545,3.0779609494
1518631928.3371295929,-162.7296825454,-132.6761398320,2.8078782611
1518631929.3379042149,-164.1570871868,-131.9555555661,2.5862758167
1518631930.3370816708,-165.5502294865,-130.8755514806,2.4125643938
1518631931.3378336430,-166.8613493907,-129.5169183481,2.2973593652
1518631932.3372178078,-168.1356542648,-128.0024231909,2.2592690424
1518631933.3374211788,-169.4304832762,-126.4355230081,2.2608810144
1518631934.3375527859,-170.7941461703,-124.7793314818,2.2661293124
1518631935.3370943069,-172.2351376487,-123.1779061206,2.3149756868
1518631936.3374028206,-173.7084084954,-121.5370123076,2.3022642626
1518631937.3371918201,-175.1146552002,-119.9066390232,2.2668679761
1518631938.3376169205,-176.4259472317,-118.3285937469,2.2562054608
1518631939.3373138905,-177.6231212097,-116.7217790745,2.2050182295
1518631940.3371622562,-178.7882245246,-115.0889666871,2.2107687365
1518631941.3377628326,-179.9804618697,-113.4735156048,2.2222593325
1518631942.3378283978,-181.1247759454,-111.9347766506,2.2186262624
1518631943.3374092579,-182.1963541825,-110.5626126614,2.2464983246
1518631944.3369617462,-183.2369172196,-109.2820569129,2.2678594623
1518631945.3373415470,-184.3909217108,-107.9302936065,2.2949248194
1518631946.3371584415,-185.7125632399,-106.4714931826,2.3324399582
1518631947.3376231194,-187.1780974557,-105.0548749872,2.4163402054
1518631948.3374392986,-188.7409543486,-103.8032836090,2.5399909700
1518631949.3373773098,-190.4646194758,-102.8313066776,2.7247569797
1518631950.3588566780,-192.3500599980,-102.2695619356,2.9887744084
1518631951.3589699268,-194.2902842654,-102.3001205055,-2.9761709281
1518631952.3619785309,-196.1418368332,-102.9065890052,-2.7020124759
1518631953.3991427422,-197.9408633411,-103.9360115575,-2.5684938669
1518631954.4196054935,-199.6770532523,-105.0933064942,-2.5377366527
1518631955.4200897217,-201.3788091499,-106.2532350930,-2.5386788050
1518631956.3987901211,-203.1057940500,-107.3988257203,-2.5647822924
1518631957.4400351048,-205.1081599037,-108.6268913258,-2.6017798466
1518631958.4520139694,-207.1847910156,-109.8631730114,-2.6041878859
1518631959.4396305084,-209.2767051846,-111.1042218003,-2.6022832141
1518631960.4641172886,-211.5160447182,-112.4215096245,-2.6035099798
1518631961.4640448093,-213.7056989776,-113.7191212433,-2.6003790911
1518631962.4636871815,-215.8575386837,-115.0115246445,-2.5971738730
1518631963.4660923481,-217.9659814103,-116.2870655143,-2.5910916460
1518631964.4857485294,-219.9913974002,-117.5307039859,-2.5907303907
1518631965.4853804111,-221.8488697606,-118.6600428781,-2.5904952497
1518631966.4852528572,-223.5853289995,-119.7354093199,-2.5884924326
1518631967.4850480556,-225.2436907396,-120.7421779888,-2.5922900012
1518631968.4855594635,-226.8264712798,-121.6961682192,-2.5961753178
1518631969.4852433205,-228.3779480883,-122.6068131443,-2.6020603438
1518631970.4856185913,-229.9128080061,-123.4966965090,-2.6103046587
1518631971.4858314991,-231.4394017490,-124.3937865622,-2.6118598814
1518631972.4850137234,-232.9651312962,-125.2760928032,-2.6142007187
1518631973.4852187634,-234.4848507551,-126.1444941594,-2.6163067500
1518631974.4854664803,-235.9674418608,-126.9879971517,-2.6164016524
1518631975.4850277901,-237.4145190615,-127.8097234579,-2.6164761097
1518631976.4854140282,-238.9634478358,-128.6819857694,-2.6197810012
1518631977.4852950573,-240.9373056091,-129.7862446293,-2.6229515460
1518631978.4849731922,-243.3771387331,-131.1688945516,-2.6223366335
1518631979.4857749939,-246.2354638371,-132.7855031057,-2.6278616018
1518631980.4848201275,-249.3707519351,-134.5699734205,-2.6241176854
1518631981.4850521088,-252.6544999641,-136.4335435222,-2.6234503431
1518631982.4855313301,-255.8843361762,-138.2573336626,-2.6241890030
1518631983.4857501984,-259.0212664313,-139.9990222962,-2.6510465464
1518631984.5102925301,-262.2644113441,-141.6749891081,-2.6732755691
1518631985.5108411312,-265.3590380783,-143.2205815685,-2.6890609106
1518631986.5105056763,-268.3246409728,-144.6236584721,-2.7047573060
1518631987.5103261471,-271.1364806332,-145.8777490975,-2.7345649717
1518631988.5104503632,-273.8371134478,-146.8572392326,-2.8467881066
1518631989.5107855797,-276.4511379667,-147.4453046031,-2.9503456111
1518631990.5106627941,-278.9189685678,-147.9541218491,-2.8875774366
1518631991.5099291801,-280.9131929240,-148.6186350074,-2.7212581892
1518631992.5098626614,-281.6777843655,-148.9826341787,-2.6625921982
1518631993.5101976395,-281.6610594395,-148.9658887978,-2.6623376032
1518631994.5098659992,-281.6472522545,-148.9529432100,-2.6622794736
1518631995.5099515915,-281.6414963853,-148.9460835087,-2.6622698873
1518631996.5102658272,-281.6370512045,-148.9413950345,-2.6621553921
1518631997.5103018284,-281.6328777311,-148.9369079202,-2.6620142610
1518631998.5106775761,-281.6306923280,-148.9344433247,-2.6619434354
1518631999.5100941658,-281.6286321149,-148.9326607693,-2.6618495318
1518632000.5110414028,-281.6267782968,-148.9309805085,-2.6617102344
1518632001.5105302334,-281.6245537528,-148.9290424491,-2.6616001666
1518632002.5105304718,-281.6231898278,-148.9283151391,-2.6615597800
1518632003.5108478069,-281.6220389680,-148.9280572462,-2.6615120660
1518632004.5105760098,-281.6210023485,-148.9277689538,-2.6614374171
1518632005.5104029179,-281.6194958639,-148.9272751362,-2.6613630398
1518632006.5103409290,-281.6184636413,-148.9275969855,-2.6613369391
1518632007.5099647045,-281.6176572540,-148.9278462992,-2.6613137969
1518632008.5102558136,-281.6165060034,-148.9276259640,-2.6612789031
1518632009.5101919174,-281.6157496618,-148.9278034526,-2.6612609693
1518632010.5103535652,-281.6147203864,-148.9276814917,-2.6612480909
1518632011.5101168156,-281.6140538607,-148.9278129166,-2.6612304126
1518632012.5107533932,-281.6133856432,-148.9283374180,-2.6612144782
1518632013.5193424225,-281.6124064556,-148.9285315573,-2.6611920021
1518632014.5105929375,-281.6116976213,-148.9289886318,-2.6611749511
1518632015.5103194714,-281.6110072359,-148.9295457897,-2.6611620837
1518632016.5107169151,-281.6101588451,-148.9296806326,-2.6611626589
1518632017.5100424290,-281.6095489716,-148.9306389828,-2.6611517797
1518632018.5106141567,-281.6085893200,-148.9311920297,-2.6611467022
1518632019.5101699829,-281.6078724072,-148.9320244060,-2.6611296826
1518632020.5140907764,-281.6069418220,-148.9326728140,-2.6611193347
1518632021.5102076530,-281.6062070676,-148.9336037872,-2.6611140046
1518632022.5101864338,-281.6054674938,-148.9344977717,-2.6611040629
1518632023.5103466511,-281.6045937422,-148.9351973707,-2.6610945303
1518632024.5105924606,-281.6038702363,-148.9361942902,-2.6610876784
1518632025.5104529858,-281.6031485587,-148.9370949268,-2.6610725968
1518632026.5106682777,-281.6022789896,-148.9378246747,-2.6610506458
1518632027.5103621483,-281.6015384191,-148.9388326208,-2.6610246004
1518632028.5105669498,-281.6008661858,-148.9398765461,-2.6610053530
1518632029.5149564743,-281.6000879354,-148.9407436375,-2.6609885246
1518632030.5098326206,-281.5994600480,-148.9417324346,-2.6609722429
1518632031.5102097988,-281.5988912865,-148.9427027985,-2.6609556473
1518632032.5107355118,-281.5981728670,-148.9435640582,-2.6609431223
1518632033.5104274750,-281.5976315593,-148.9445980653,-2.6609357353
1518632034.5107288361,-281.5971472870,-148.9456253525,-2.6609318508
1518632035.5107932091,-281.5967012383,-148.9464627746,-2.6609297514
1518632036.5137102604,-281.5960432911,-148.9476576414,-2.6609238128
1518632037.5105538368,-281.5955715877,-148.9487787749,-2.6609213234
1518632038.5102393627,-281.5950725423,-148.9499444133,-2.6609199035
1518632039.5104560852,-281.5944459661,-148.9510169966,-2.6609123785
1518632040.5106344223,-281.5939628977,-148.9522173760,-2.6609053855
1518632041.5101280212,-281.5934903537,-148.9534286685,-2.6608995752
1518632042.5106070042,-281.5930446856,-148.9546506722,-2.6608948833
1518632043.5119438171,-281.5926279803,-148.9558517763,-2.6608926615
1518632044.5102310181,-281.5921005366,-148.9569063096,-2.6608870032
1518632045.5107760429,-281.5917073635,-148.9581095148,-2.6608809313
1518632046.5102894306,-281.5912019194,-148.9591471085,-2.6608772249
1518632047.5103290081,-281.5908918483,-148.9600136497,-2.6608772620
1518632048.5130987167,-281.5904317150,-148.9613432031,-2.6608736601
1518632049.5106482506,-281.5900927758,-148.9626067097,-2.6608697268
1518632050.5103907585,-281.5897892307,-148.9638870398,-2.6608713212
1518632051.5105750561,-281.5895142565,-148.9651472448,-2.6608699037
1518632052.5102572441,-281.5891398729,-148.9663169342,-2.6608671642
1518632053.5098462105,-281.5888620208,-148.9676055215,-2.6608656109
1518632054.5106658936,-281.5885923243,-148.9689480696,-2.6608663728
1518632055.5107641220,-281.5882485317,-148.9701536716,-2.6608655682
1518632056.5102601051,-281.5880039585,-148.9715253167,-2.6608603485
1518632057.5099782944,-281.5876722130,-148.9727357417,-2.6608612923
1518632058.5101373196,-281.5873473025,-148.9741174410,-2.6608551215
1518632059.5101587772,-281.5869141478,-148.9754452561,-2.6608455144
