x,y,z,ring,intensity
-0.69317627,-6.9376602,0.64603436,16,15
0.31109619,-3.3284607,-0.072471976,1,1
-0.69577026,-6.9343719,0.81735957,17,12
0.24905396,-3.5564728,-0.096656203,2,1
-0.69470215,-6.9175949,0.98915404,18,23
0.1987915,-3.7390518,-0.085238695,3,1
-0.70718384,-6.950737,1.1550722,19,29
0.14099121,-3.9493332,-0.078470707,4,1
-0.71127319,-6.9531326,1.3231201,20,27
0.13476562,-3.9639435,0.029884815,5,1
-0.71276855,-6.9459686,1.4912643,21,26
0.10665894,-4.0610962,0.10000002,6,1
-0.71429443,-6.9389267,1.6599135,22,22
0.039642334,-4.3045197,0.11336279,7,1
-0.715271,-6.9300003,1.826768,23,28
-0.026428223,-4.5436592,0.13888347,8,1
-0.72207642,-6.9424057,1.9934427,24,18
-0.098358154,-4.8038712,0.16774499,9,0
-0.73052979,-6.9606476,2.1623363,25,14
-0.19055176,-5.1388741,0.18453896,10,1
-2.992218,-15.159252,2.8372793,26,0
-0.30374146,-5.5511246,0.19229758,11,0
-1.1106873,-8.3134308,2.6147156,27,1
-0.43841553,-6.041893,0.19746363,12,0
-0.59707642,-6.4404068,2.6109428,28,0
-0.5793457,-6.5540695,0.22176766,13,1
-1.0578003,-8.0924683,2.9910598,29,0
-0.68307495,-6.9264221,0.30145144,14,6
-1.4553223,-9.5106049,3.4160814,30,0
-0.68734741,-6.929184,0.4743228,15,4
-9.6169739,-38.856308,9.0687971,31,10
-0.71652222,-6.937355,0.64455581,16,10
0.29708862,-3.3389816,-0.080664754,1,1
-0.71911621,-6.9340973,0.8160187,17,12
0.24060059,-3.5432129,-0.091143131,2,1
-0.71850586,-6.9192505,0.98769957,18,22
0.18933105,-3.7272224,-0.080899358,3,1
-0.72793579,-6.9408875,1.1550388,19,28
0.12625122,-3.9546013,-0.083094239,4,1
-0.73464966,-6.9528809,1.3221941,20,26
0.12277222,-3.9587555,0.030462265,5,1
-0.73718262,-6.9495926,1.4902503,21,26
0.09487915,-4.0540314,0.10131872,6,1
-0.73764038,-6.9387054,1.6592677,22,21
0.026641846,-4.2990036,0.11383283,7,1
-0.73806763,-6.9278564,1.8262825,23,28
-0.042663574,-4.5469666,0.13577914,8,1
-0.74435425,-6.9383316,1.9930234,24,20
-0.1144104,-4.8033638,0.16611755,9,0
-0.75231934,-6.954628,2.16189,25,12
-0.20617676,-5.1325836,0.18482423,10,1
-3.0333252,-15.123066,2.8348794,26,0
-0.32019043,-5.5426254,0.19308305,11,0
-1.2166443,-8.5922928,2.6388056,27,2
-0.45736694,-6.0366554,0.19707584,12,1
-9.6719971,-38.793831,6.1893053,28,14
-0.59835815,-6.5427704,0.22279012,13,1
-1.0820618,-8.0816498,2.9900255,29,2
-0.70736694,-6.9298477,0.29882765,14,5
-0.6519165,-6.5353546,2.9417512,30,0
-0.71270752,-6.9364319,0.47114503,15,3
-0.7310791,-6.8049545,3.1545024,31,0
-0.73620605,-6.9379959,0.64315128,16,15
0.29104614,-3.3264999,-0.074858427,1,1
-0.73883057,-6.9347534,0.81475186,17,12
0.2331543,-3.533844,-0.087504745,2,1
-0.7376709,-6.9180298,0.98682427,18,23
0.17773438,-3.7313728,-0.084762335,3,1
-0.74768066,-6.9415741,1.1540489,19,28
0.11309814,-3.9621353,-0.088550568,4,0
-0.75500488,-6.9554977,1.3211823,20,16
-0.75805664,-6.9541397,1.4893101,21,25
0.084320068,-4.0510712,0.10110199,6,1
-0.75793457,-6.9413452,1.6586287,22,22
0.014892578,-4.2976532,0.11285663,7,0
-0.76046753,-6.9382172,1.8257471,23,27
-0.054046631,-4.5418396,0.13623929,8,1
-0.76574707,-6.9448242,1.9928074,24,20
-0.12844849,-4.8053284,0.16388178,9,0
-0.77264404,-6.9572601,2.1618087,25,16
-0.21859741,-5.1251755,0.18578064,10,1
-3.0890808,-15.169682,2.8376369,26,0
-0.33364868,-5.5348816,0.19392884,11,0
-1.2477112,-8.6167145,2.6409893,27,2
-0.47366333,-6.0341148,0.19622672,12,0
-1.1825562,-8.3707428,2.8248603,28,1
-0.61703491,-6.5436096,0.22099686,13,2
-1.0999451,-8.0643158,2.9880471,29,1
-0.72705078,-6.9304352,0.2971493,14,3
-0.73190308,-6.9351578,0.46999323,15,3
-0.76556396,-6.8587265,3.1649864,31,2
-0.7585144,-6.933754,0.64236188,16,14
0.27877808,-3.3302498,-0.079061985,1,1
-0.7605896,-6.9286194,0.81430745,17,12
0.22024536,-3.5374947,-0.09155941,2,1
-0.76312256,-6.9252853,0.98461074,18,21
0.16555786,-3.7297859,-0.085917711,3,1
-0.77212524,-6.9450073,1.1525722,19,29
0.10018921,-3.9603653,-0.089678764,4,0
-0.77844238,-6.9551086,1.320256,20,16
0.098571777,-3.9576302,0.02750051,5,1
-0.78201294,-6.9556732,1.488409,21,26
0.070617676,-4.0510368,0.099262714,6,1
-0.77911377,-6.9332809,1.6582514,22,21
0.00091552734,-4.2956467,0.11183429,7,1
-0.78384399,-6.9378433,1.8252405,23,26
-0.068786621,-4.5396271,0.13524497,8,1
-0.78747559,-6.9386826,1.9923627,24,19
-0.14254761,-4.7974358,0.16489339,9,0
-0.79611206,-6.9568863,2.1615806,25,16
-0.23620605,-5.1261368,0.18360579,10,1
-3.1322937,-15.140911,2.8357151,26,0
-0.35256958,-5.5355225,0.19186068,11,0
-3.1419678,-15.148476,3.2035201,27,0
-0.49569702,-6.0399323,0.19268084,12,0
-1.2005615,-8.3346634,2.8211508,28,1
-0.63705444,-6.5359573,0.22105896,13,2
-0.74984741,-6.9280624,0.29583299,14,3
-0.82403564,-6.9813538,3.1883321,31,0
-0.78161621,-6.9415054,0.63955379,16,8
0.26950073,-3.3275909,-0.079251528,1,1
-0.78152466,-6.9288177,0.81301618,17,13
0.21176147,-3.5295982,-0.08888936,2,1
-0.78240967,-6.9197693,0.98421663,18,21
0.15704346,-3.7199669,-0.082465291,3,1
-0.79370117,-6.9471359,1.1513506,19,28
0.089111328,-3.9572144,-0.089904308,4,0
-0.79998779,-6.9572372,1.319219,20,19
0.085113525,-3.9632378,0.02311337,5,1
-0.80252075,-6.9539871,1.4877853,21,25
0.060302734,-4.0442657,0.10061193,6,1
-0.80065918,-6.935463,1.6575878,22,21
-0.013031006,-4.2993736,0.10860264,7,1
-0.80316162,-6.9323349,1.8248459,23,28
-0.080932617,-4.5342064,0.13568985,8,1
-0.80957031,-6.9427795,1.9920957,24,20
-0.15744019,-4.7990685,0.16264057,9,0
-0.81713867,-6.9571152,2.1614017,25,17
-0.2510376,-5.1239014,0.18269837,10,1
-3.186676,-15.171074,2.8374631,26,0
-0.36749268,-5.529274,0.19211674,11,0
-3.1869507,-15.146,3.2034826,27,2
-0.51306152,-6.0369797,0.19181037,12,0
-0.65420532,-6.5270157,0.22164929,13,2
-1.1013489,-7.89077,2.9654367,29,0
-0.77182007,-6.9319458,0.29325771,14,1
-0.71142578,-6.5329285,2.9427385,30,1
-0.7767334,-6.9367142,0.46641898,15,7
-0.8588562,-7.0287552,3.1977262,31,0
-0.80609131,-6.9446945,0.63738501,16,15
0.26000977,-3.3212433,-0.077468872,1,1
-0.80541992,-6.9301453,0.81137645,17,14
0.20162964,-3.5230255,-0.08720088,2,1
-0.80743408,-6.9249573,0.98225516,18,18
0.14489746,-3.7183113,-0.083619833,3,1
-0.81710815,-6.9465866,1.1502862,19,24
0.08013916,-3.9415054,-0.084036231,4,0
-0.82180786,-6.9509506,1.318774,20,21
0.074157715,-3.9544067,0.025357127,5,1
-0.82650757,-6.955368,1.4868839,21,25
0.046081543,-4.0459175,0.097983003,6,1
-0.82519531,-6.9387894,1.6568071,22,21
-0.025024414,-4.2901306,0.11056828,7,0
-0.82937622,-6.9414368,1.8242344,23,29
-0.096679688,-4.535511,0.13328886,8,0
-0.83355713,-6.9441833,1.9917533,24,20
-0.17095947,-4.7892723,0.16431344,9,0
-0.84063721,-6.9565811,2.1611733,25,16
-0.26605225,-5.1156006,0.18360174,10,1
-3.2348022,-15.159267,2.836611,26,0
-0.38327026,-5.5187378,0.19347692,11,0
-3.2411499,-15.15527,3.2044914,27,1
-0.52935791,-6.0222359,0.19405782,12,1
-10.184143,-38.86964,6.2026811,28,14
-0.67150879,-6.509903,0.22412038,13,2
-1.1104431,-7.8303375,2.9577236,29,2
-0.79568481,-6.9331818,0.29106891,14,1
-0.73413086,-6.5346222,2.9435349,30,0
-0.80007935,-6.9361038,0.46480238,15,5
-1.191864,-8.0803986,3.3930228,31,0
-0.82601929,-6.9409409,0.6366452,16,16
0.24978638,-3.3218842,-0.079653502,1,1
-0.8263855,-6.9302139,0.81008494,17,14
0.1932373,-3.5150795,-0.084529042,2,1
-0.82781982,-6.9231415,0.98135513,18,22
0.13259888,-3.722126,-0.087496638,3,1
-0.83813477,-6.9466629,1.1492711,19,21
0.069122314,-3.9382973,-0.084260345,4,0
-0.84341431,-6.9529495,1.3177369,20,23
0.060119629,-3.9616814,0.020136833,5,1
-0.84701538,-6.9535446,1.4862603,21,25
0.035827637,-4.0390892,0.099333405,6,1
-0.84786987,-6.9446564,1.6560078,22,16
-0.036468506,-4.2848549,0.11107135,7,0
-0.84924316,-6.937706,1.823819,23,28
-0.10882568,-4.5300255,0.1337347,8,0
-0.85403442,-6.9423828,1.9914095,24,20
-0.18377686,-4.7835655,0.16470146,9,0
-0.86227417,-6.9586029,2.1610663,25,13
-0.27981567,-5.1096077,0.1839267,10,1
-3.2849426,-15.173752,2.8374071,26,0
-0.39810181,-5.5123978,0.19373477,11,0
-3.2879028,-15.158237,3.2049477,27,1
-0.54351807,-6.0080643,0.19634938,12,1
-0.69076538,-6.5083389,0.22278714,13,2
-0.47814941,-5.6140633,2.6582463,29,0
-0.81610107,-6.9312744,0.28980184,14,1
-0.82052612,-6.9342194,0.46362615,15,4
-1.302948,-8.3721008,3.4477756,31,0
-0.84701538,-6.9409103,0.63521552,16,15
0.23815918,-3.3274841,-0.084831953,1,1
-0.84741211,-6.9302139,0.80879331,17,12
0.18151855,-3.5189476,-0.088558555,2,1
-0.84768677,-6.9193497,0.9807086,18,21
0.12561035,-3.7070961,-0.081292868,3,1
-0.86032104,-6.9505005,1.1478422,19,21
0.058135986,-3.9350586,-0.0844841,4,0
-0.86450195,-6.95298,1.3168601,20,21
0.049591064,-3.9566765,0.020744324,5,1
-0.86755371,-6.9516678,1.4856368,21,25
0.023590088,-4.039299,0.097523332,6,1
-0.86721802,-6.9389496,1.6556135,22,16
-0.049438477,-4.284893,0.10933387,7,1
-0.86972046,-6.9358444,1.8233827,23,28
-0.12145996,-4.5262985,0.13347733,8,0
-0.87509155,-6.9424286,1.9910911,24,19
-0.19921875,-4.7868919,0.16178882,9,0
-0.88452148,-6.9624634,2.1610312,25,13
-0.29403687,-5.1054039,0.18363655,10,1
-3.3232727,-15.147888,2.8357174,26,1
-0.41400146,-5.5097122,0.19284999,11,0
-3.3329773,-15.155331,3.20491,27,0
-0.55917358,-5.9994278,0.19706202,12,1
-1.2973328,-8.31073,2.8196225,28,1
-0.70779419,-6.4992599,0.22338068,13,2
-0.82504272,-6.717308,2.8078961,29,0
-0.83926392,-6.9387054,0.2863524,14,1
-1.0943604,-7.6052856,3.1159172,30,1
-0.84204102,-6.936058,0.4616679,15,5
-1.3171997,-8.3350525,3.4417112,31,0
-0.86862183,-6.9427032,0.63344073,16,11
0.23272705,-3.3113937,-0.077036381,1,1
